site_id,helix_id,base_index,x_nm,y_nm
351,15,5,-22.150,12.500
352,15,6,-18.580,12.500
353,15,7,-15.010,12.500
354,15,8,-11.440,12.500
355,15,9,-7.870,12.500
356,15,10,-4.300,12.500
357,15,11,-0.730,12.500
358,15,12,2.840,12.500
359,15,13,6.410,12.500
360,15,14,9.980,12.500
361,15,15,13.550,12.500
362,15,16,17.120,12.500
363,15,17,20.690,12.500
364,15,18,24.260,12.500
365,15,19,27.830,12.500
366,15,20,31.400,12.500
367,15,21,34.970,12.500
368,15,22,38.540,12.500
369,16,0,-40.000,15.000
370,16,1,-36.430,15.000
371,16,2,-32.860,15.000
372,16,3,-29.290,15.000
373,16,4,-25.720,15.000
374,16,5,-22.150,15.000
375,16,6,-18.580,15.000
376,16,7,-15.010,15.000
377,16,8,-11.440,15.000
378,16,9,-7.870,15.000
379,16,10,-4.300,15.000
380,16,11,-0.730,15.000
381,16,12,2.840,15.000
382,16,13,6.410,15.000
383,16,14,9.980,15.000
384,16,15,13.550,15.000
385,16,16,17.120,15.000
386,16,17,20.690,15.000
387,16,18,24.260,15.000
388,16,19,27.830,15.000
389,16,20,31.400,15.000
390,16,21,34.970,15.000
391,16,22,38.540,15.000
392,17,0,-40.000,17.500
393,17,1,-36.430,17.500
394,17,2,-32.860,17.500
395,17,3,-29.290,17.500
396,17,4,-25.720,17.500
397,17,5,-22.150,17.500
398,17,6,-18.580,17.500
399,17,7,-15.010,17.500
400,17,8,-11.440,17.500
401,17,9,-7.870,17.500
402,17,10,-4.300,17.500
403,17,11,-0.730,17.500
404,17,12,2.840,17.500
405,17,13,6.410,17.500
406,17,14,9.980,17.500
407,17,15,13.550,17.500
408,17,16,17.120,17.500
409,17,17,20.690,17.500
410,17,18,24.260,17.500
411,17,19,27.830,17.500
412,17,20,31.400,17.500
413,17,21,34.970,17.500
414,17,22,38.540,17.500
415,18,0,-40.000,20.000
416,18,1,-36.430,20.000
417,18,2,-32.860,20.000
418,18,3,-29.290,20.000
419,18,4,-25.720,20.000
420,18,5,-22.150,20.000
421,18,6,-18.580,20.000
422,18,7,-15.010,20.000
423,18,8,-11.440,20.000
424,18,9,-7.870,20.000
425,18,10,-4.300,20.000
426,18,11,-0.730,20.000
427,18,12,2.840,20.000
428,18,13,6.410,20.000
