layout,anchor_id,x_nm,y_nm,linker_construct
evo_g5_clinical_grid_18_3,A04,5.915,-6.280,polyT30
evo_g5_clinical_grid_18_3,A05,7.424,-3.928,polyT30
evo_g5_clinical_grid_18_3,A06,23.513,-5.222,polyT30
evo_g5_clinical_grid_18_3,A07,-18.694,-2.023,polyT30
evo_g5_clinical_grid_18_3,A08,-0.428,2.780,polyT30
evo_g5_clinical_grid_18_3,A09,-11.545,-4.364,polyT30
evo_g5_clinical_grid_18_3,A10,-2.282,-0.464,polyT30
evo_g5_clinical_grid_18_3,A11,5.919,4.329,polyT30
evo_g5_clinical_grid_18_3,A12,11.620,-0.496,polyT30
evo_g5_clinical_grid_18_3,A13,-15.349,5.353,polyT30
evo_g5_clinical_grid_18_3,A14,-11.182,6.141,polyT30
evo_g5_clinical_grid_18_3,A15,-1.205,10.334,polyT30
evo_g5_clinical_grid_18_3,A16,-4.428,5.273,polyT30
evo_g5_clinical_grid_18_3,A17,12.827,5.956,polyT30
evo_g5_clinical_grid_18_3,A18,18.719,9.184,polyT30
evo_g5_clinical_grid_18_3,A19,35.606,12.666,polyT30
evo_g4_clinical_grid_18_4,A01,-15.105,-9.483,polyT30
evo_g4_clinical_grid_18_4,A02,-4.492,-9.297,polyT30
evo_g4_clinical_grid_18_4,A03,-6.914,-15.531,polyT30
evo_g4_clinical_grid_18_4,A04,3.194,-3.921,polyT30
evo_g4_clinical_grid_18_4,A05,4.654,-10.117,polyT30
evo_g4_clinical_grid_18_4,A06,13.430,-9.396,polyT30
evo_g4_clinical_grid_18_4,A07,-19.872,2.137,polyT30
evo_g4_clinical_grid_18_4,A08,-14.352,-0.732,polyT30
evo_g4_clinical_grid_18_4,A09,5.128,-1.823,polyT30
evo_g4_clinical_grid_18_4,A10,-5.122,1.760,polyT30
evo_g4_clinical_grid_18_4,A11,10.878,0.526,polyT30
evo_g4_clinical_grid_18_4,A12,19.464,2.500,polyT30
evo_g4_clinical_grid_18_4,A13,-18.047,4.510,polyT30
evo_g4_clinical_grid_18_4,A14,-3.813,3.347,polyT30
evo_g4_clinical_grid_18_4,A15,-4.435,10.122,polyT30
evo_g4_clinical_grid_18_4,A16,4.899,7.368,polyT30
evo_g4_clinical_grid_18_4,A17,4.807,4.521,polyT30
evo_g4_clinical_grid_18_4,A18,26.943,7.818,polyT30
evo_g5_clinical_grid_18_4,A01,-12.921,-8.267,polyT30
evo_g5_clinical_grid_18_4,A02,-1.321,-2.670,polyT30
evo_g5_clinical_grid_18_4,A03,-3.439,-8.641,polyT30
evo_g5_clinical_grid_18_4,A04,9.385,-4.913,polyT30
evo_g5_clinical_grid_18_4,A05,7.879,-10.189,polyT30
evo_g5_clinical_grid_18_4,A06,-10.575,2.283,polyT30
evo_g5_clinical_grid_18_4,A07,-14.222,-6.704,polyT30
evo_g5_clinical_grid_18_4,A08,1.322,-1.131,polyT30
evo_g5_clinical_grid_18_4,A09,2.110,5.654,polyT30
evo_g5_clinical_grid_18_4,A10,2.549,0.796,polyT30
evo_g5_clinical_grid_18_4,A11,16.531,-5.466,polyT30
evo_g5_clinical_grid_18_4,A12,-26.442,10.034,polyT30
evo_g5_clinical_grid_18_4,A13,-8.135,7.451,polyT30
evo_g5_clinical_grid_18_4,A14,-3.782,5.602,polyT30
evo_g5_clinical_grid_18_4,A15,4.057,10.458,polyT30
evo_g5_clinical_grid_18_4,A16,8.090,6.603,polyT30
evo_g5_clinical_grid_18_4,A17,22.597,5.541,polyT30
evo_g5_clinical_grid_18_4,A18,16.442,6.080,polyT30
