layout,formulation,contact_boost,background_reduction,p10_useful_capture,burden
sunflower_20,mixed_spacer_antifouling,0.9000,0.4400,0.9003,1.3400
triple_ring_24,mixed_spacer_antifouling,0.9000,0.4400,0.9008,1.3400
triple_ring_24,rigid_spacer_PEG,0.5000,0.8400,0.9012,1.3400
hybrid_24,mixed_spacer_antifouling,0.4750,0.8700,0.9004,1.3450
hybrid_24,mixed_spacer_antifouling,0.5250,0.8200,0.9011,1.3450
hybrid_24,mixed_spacer_antifouling,0.5750,0.7700,0.9002,1.3450
rescue_24,mixed_spacer_antifouling,0.5750,0.7700,0.9004,1.3450
rescue_24,mixed_spacer_antifouling,0.7250,0.6200,0.9014,1.3450
sunflower_20,mixed_spacer_antifouling,0.7250,0.6200,0.9006,1.3450
triple_ring_24,rigid_spacer_PEG,0.5250,0.8200,0.9008,1.3450
broad_grid_20,rigid_spacer_PEG,0.8000,0.5500,0.9013,1.3500
broad_grid_24,rigid_spacer_PEG,0.7500,0.6000,0.9013,1.3500
hybrid_24,mixed_spacer_antifouling,0.6000,0.7500,0.9001,1.3500
hybrid_24,rigid_spacer_PEG,0.7500,0.6000,0.9014,1.3500
rescue_24,mixed_spacer_antifouling,0.5500,0.8000,0.9001,1.3500
sunflower_20,mixed_spacer_antifouling,0.7000,0.6500,0.9006,1.3500
triple_ring_24,rigid_spacer_PEG,0.5500,0.8000,0.9002,1.3500
broad_grid_24,mixed_spacer_antifouling,0.7750,0.5800,0.9008,1.3550
sunflower_20,mixed_spacer_antifouling,0.6750,0.6800,0.9005,1.3550
sunflower_20,mixed_spacer_antifouling,0.9250,0.4300,0.9003,1.3550
hybrid_24,mixed_spacer_antifouling,0.4000,0.9600,0.9000,1.3600
hybrid_24,mixed_spacer_antifouling,0.4500,0.9100,0.9008,1.3600
rescue_24,mixed_spacer_antifouling,0.7500,0.6100,0.9012,1.3600
sunflower_20,mixed_spacer_antifouling,0.6500,0.7100,0.9004,1.3600
broad_grid_20,rigid_spacer_PEG,0.8250,0.5400,0.9000,1.3650
broad_grid_24,rigid_spacer_PEG,0.7750,0.5900,0.9009,1.3650
hybrid_24,mixed_spacer_antifouling,0.3750,0.9900,0.9003,1.3650
